x,y,z
609956.637953,267940.283309,-13285.288086
609982.217753,267938.872944,-13290.575195
610007.883817,267937.212274,-13296.808105
610033.549881,267935.551604,-13303.041016
610059.299698,267933.661701,-13310.100098
610085.049514,267931.771798,-13317.15918
610110.885493,267929.663972,-13324.996582
610136.721473,267927.556146,-13332.833984
610162.617269,267925.295583,-13340.876953
610188.513066,267923.035019,-13348.919922
610214.461776,267920.647814,-13356.962891
610240.410487,267918.260609,-13365.005859
610266.389014,267915.818696,-13372.583008
610292.36754,267913.376782,-13380.160156
610318.364894,267910.910661,-13387.233887
610344.362247,267908.444539,-13394.307617
610370.344867,267906.035068,-13400.297852
610396.327488,267903.625596,-13406.288086
610422.298849,267901.28124,-13411.21582
610448.27021,267898.936884,-13416.143555
609323.748415,267942.374575,-13230.384766
609373.652515,267969.416786,-13225.121094
609398.887307,267970.206263,-13225.692383
609424.10977,267971.016034,-13226.20459
609449.331548,267971.669866,-13226.885742
609474.533359,267972.358264,-13227.548828
609499.753887,267972.852993,-13228.386719
609524.945143,267973.405667,-13229.19043
609550.170617,267973.732817,-13230.297852
609575.367621,267974.117741,-13231.375488
609600.614507,267974.249604,-13232.884766
609625.818537,267974.478096,-13234.344238
609651.087241,267974.421859,-13236.31543
609676.312897,267974.461656,-13238.218262
609701.615458,267974.190527,-13240.700684
609726.86543,267974.038577,-13243.032715
609752.206625,267973.544992,-13246.00293
609777.493565,267973.179453,-13248.791016
609802.882997,267972.46473,-13252.259277
609828.209839,267971.893001,-13255.425781
609853.654946,267970.950408,-13259.458984
609879.033406,267970.151464,-13263.075684
609904.540593,267968.980697,-13267.688965
609929.9863,267967.934335,-13271.90332
609955.5661,267966.52397,-13277.19043
609981.079386,267965.247327,-13282.157715
610006.74545,267963.586657,-13288.390625
610032.354263,267962.034409,-13294.374512
610058.10408,267960.144506,-13301.433594
610083.810745,267958.331273,-13308.496094
610109.646725,267956.223447,-13316.333496
610135.448993,267954.164733,-13324.341797
610161.34479,267951.90417,-13332.384766
610187.233395,267949.640736,-13341.037109
610213.182106,267947.253531,-13349.080078
610239.131083,267944.851842,-13357.866211
610265.10961,267942.409929,-13365.443359
610291.105348,267939.914842,-13373.959473
610317.102701,267937.44872,-13381.033203
610343.117445,267934.940892,-13388.903809
610369.100065,267932.531421,-13394.894043
610395.107235,267930.071418,-13401.454102
610421.078596,267927.727062,-13406.381836
610448.27021,267898.936884,-13416.143555
610448.27021,267898.936884,-13416.143555
610500.159672,267894.479532,-13423.428711
610500.159672,267894.479532,-13423.428711
610551.987422,267890.257705,-13428.123047
610551.987422,267890.257705,-13428.123047
610603.836241,267886.133346,-13432.302734
609322.601571,267992.694985,-13217.709961
609373.054165,267994.635928,-13218.732422
609398.276628,267995.4457,-13219.244629
609423.499091,267996.255471,-13219.756836
609448.700902,267996.943869,-13220.419922
609473.902712,267997.632266,-13221.083008
609499.093968,267998.184941,-13221.886719
609524.285224,267998.737615,-13222.69043
609549.482229,267999.122539,-13223.768066
609574.679233,267999.507463,-13224.845703
609599.883263,267999.735956,-13226.305176
609625.087294,267999.964448,-13227.764648
609650.31295,268000.004245,-13229.66748
609675.538606,268000.044042,-13231.570313
609700.788578,267999.892091,-13233.902344
609726.03855,267999.740141,-13236.234375
609751.32549,267999.374603,-13239.022461
609776.61243,267999.009065,-13241.810547
609801.939272,267998.437336,-13244.977051
609827.266113,267997.865608,-13248.143555
609852.644573,267997.066664,-13251.760254
609878.023033,267996.267719,-13255.376953
609903.46874,267995.221358,-13259.591309
609928.914447,267994.174996,-13263.805664
609954.427733,267992.898353,-13268.772949
609979.941018,267991.62171,-13273.740234
610005.549832,267990.069462,-13279.724121
610031.158645,267988.517214,-13285.708008
610056.865311,267986.703981,-13292.770508
610082.571977,267984.890748,-13299.833008
610108.374245,267982.832034,-13307.841309
610134.176514,267980.77332,-13315.849609
610160.065119,267978.509887,-13324.501953
610185.953724,267976.246453,-13333.154297
610211.902702,267973.844764,-13341.94043
610237.851679,267971.443075,-13350.726563
610263.847417,267968.947988,-13359.242676
610289.843155,267966.452902,-13367.758789
610315.857899,267963.945073,-13375.629395
610341.872642,267961.437245,-13383.5
610367.879812,267958.977242,-13390.060059
610393.886982,267956.51724,-13396.620117
610419.885019,267954.123886,-13402.033691
610445.883055,267951.730532,-13407.447266
610471.864536,267949.425968,-13411.568848
610497.846018,267947.121405,-13415.69043
610523.823442,267944.887895,-13418.943848
610549.800866,267942.654385,-13422.197266
610575.793985,267940.458109,-13425.009766
610601.787103,267938.261834,-13427.822266
609322.601571,267992.694985,-13217.709961
609372.737745,268019.191006,-13212.15332
609397.960208,268020.000778,-13212.665527
609423.166003,268020.819275,-13213.251953
609448.367814,268021.507673,-13213.915039
609473.549331,268022.217249,-13214.649902
609498.740587,268022.769923,-13215.453613
609523.909665,268023.353036,-13216.356445
609549.106669,268023.73796,-13217.434082
609574.267331,268024.200401,-13218.574707
